Product_ID,Company_name,Product_Name,Description
1,GigaMax,Camera,Budget camera ideal for beginners.
2,Optima,Smartwatch,Water-resistant smartwatch with long battery life.
3,DataLink,Smartwatch,Smartwatch with fitness and health tracking.
4,TechPro,Keyboard,Durable accessories built for long use.
5,Zenith,Mouse,Durable accessories built for long use.
6,NeoWave,Smartwatch,Smartwatch with fitness and health tracking.
7,TechPro,Mouse,Ergonomic keyboard with backlit keys.
8,NeoWave,Laptop,Lightweight laptop with long battery life.
9,GigaMax,Laptop,High-performance laptop suitable for work and gaming.
10,CyberEdge,Monitor,Compact monitor with low power consumption.
11,HyperX,Camera,Budget camera ideal for beginners.
12,GigaMax,Keyboard,Precision mouse designed for gaming.
13,NeoWave,Mouse,Durable accessories built for long use.
14,Pixelon,Printer,Budget printer with fast printing speed.
15,DataLink,Mouse,Durable accessories built for long use.
16,Optima,Smartwatch,Water-resistant smartwatch with long battery life.
17,GigaMax,Camera,Budget camera ideal for beginners.
18,NeoWave,Camera,Budget camera ideal for beginners.
19,Pixelon,Tablet,Lightweight tablet with long-lasting battery.
20,CyberEdge,Keyboard,Ergonomic keyboard with backlit keys.
21,DataLink,Smartwatch,Stylish smartwatch with customizable watch faces.
22,Pixelon,Smartwatch,Smartwatch with fitness and health tracking.
23,Zenith,Tablet,High-resolution tablet with stylus support.
24,GigaMax,Tablet,Lightweight tablet with long-lasting battery.
25,Zenith,Camera,Compact digital camera with 4K recording.
26,Optima,Mouse,Ergonomic keyboard with backlit keys.
27,HyperX,Keyboard,Ergonomic keyboard with backlit keys.
28,CyberEdge,Phone,Budget-friendly phone with great battery backup.
29,DataLink,Smartwatch,Water-resistant smartwatch with long battery life.
30,Optima,Camera,DSLR camera with professional-grade features.
31,Optima,Keyboard,Ergonomic keyboard with backlit keys.
32,CyberEdge,Tablet,Lightweight tablet with long-lasting battery.
33,Pixelon,Headphones,Compact phone with powerful performance.
34,DataLink,Headphones,Latest smartphone with advanced camera features.
35,Pixelon,Headphones,Compact phone with powerful performance.
